Trajectories;;;;;;;;;;;;;;;;;;;;;;
120;;;;;;;;;;;;;;;;;;;;;;
;;1 0;;;1 1;;;1 2;;;1 3;;;1 4;;;1 5;;;1 6;;
Frame;Sub Frame;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
;;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm
74;0;-346.547882;-2087.368652;61.044868;655.727905;-2118.149902;55.167721;155.752487;-2587.744873;60.544338;632.894165;-3061.144531;54.585384;-354.348053;-3033.68457;59.735638;;;;;;
75;0;-346.544708;-2087.361084;61.021137;655.659424;-2118.202881;55.213097;155.763123;-2587.745361;60.56562;632.864807;-3061.133789;54.609318;-354.368103;-3033.707275;59.738895;;;;;;
76;0;-346.560944;-2087.365479;61.011658;655.715881;-2118.141846;55.015617;155.763489;-2587.772949;60.570827;632.914062;-3061.156738;54.605312;-354.390991;-3033.693359;59.739975;;;;;;
77;0;-346.5625;-2087.365967;61.045696;655.709045;-2118.180176;55.21154;155.794556;-2587.768799;60.60022;632.905518;-3061.135742;54.655453;-354.390045;-3033.703125;59.762169;;;;;;
78;0;-346.539886;-2087.370605;61.018951;655.785034;-2118.131836;55.054035;155.792175;-2587.756836;60.585598;632.936096;-3061.118652;54.678818;-354.372955;-3033.716309;59.80584;;;;;;
79;0;-346.540283;-2087.363281;61.033741;655.782227;-2118.145996;55.044956;155.815659;-2587.72998;60.579842;632.952148;-3061.123047;54.695843;-354.332001;-3033.677002;59.770664;;;;;;
80;0;-346.546967;-2087.351074;61.033073;655.766235;-2118.158691;55.05682;155.78479;-2587.746826;60.583241;632.940247;-3061.10376;54.641148;-354.345062;-3033.680664;59.721973;;;;;;
81;0;-346.535919;-2087.333008;60.945927;655.767761;-2118.13916;55.00312;155.765823;-2587.752441;60.566978;632.928284;-3061.144531;54.634998;-354.359436;-3033.679688;59.774235;;;;;;
82;0;-346.516907;-2087.376709;61.02816;655.779785;-2118.143799;54.999454;155.793884;-2587.743164;60.568275;632.930664;-3061.124756;54.618732;-354.365051;-3033.686279;59.771851;;;;;;
83;0;-346.544281;-2087.355713;61.007744;655.768066;-2118.147461;55.041485;155.830276;-2587.755371;60.602741;632.927673;-3061.129395;54.607452;-354.361542;-3033.679688;59.733887;;;;;;
84;0;-346.560791;-2087.36377;61.056473;655.701294;-2118.210938;55.240318;155.774689;-2587.753174;60.612267;632.914795;-3061.125488;54.637871;-354.375824;-3033.677734;59.814739;;;;;;
85;0;-346.554504;-2087.388184;61.013523;655.759644;-2118.155029;55.074604;155.788193;-2587.75;60.587711;632.894714;-3061.123779;54.645287;-354.392761;-3033.684082;59.769279;;;;;;
86;0;-346.55658;-2087.361572;61.063034;655.747009;-2118.143555;55.011509;155.750549;-2587.772461;60.576073;632.86731;-3061.122559;54.619389;-354.367371;-3033.686279;59.772991;;;;;;
87;0;-346.543732;-2087.368164;61.00127;655.722595;-2118.191162;55.267406;155.818878;-2587.75293;60.579494;632.90625;-3061.125;54.645611;-354.357605;-3033.677002;59.736961;;;;;;
88;0;-346.525391;-2087.335693;60.984596;655.798584;-2118.133545;55.041988;155.782761;-2587.751709;60.551052;632.971558;-3061.113525;54.648933;-354.345184;-3033.698242;59.742714;;;;;;
89;0;-346.55719;-2087.355957;60.988045;655.790039;-2118.145508;55.0242;155.821472;-2587.754639;60.567165;632.945557;-3061.099854;54.661949;-354.308319;-3033.686523;59.764671;;;;;;
90;0;-346.532928;-2087.350098;61.0243;655.801758;-2118.124023;55.078762;155.796478;-2587.726562;60.582893;632.953857;-3061.105957;54.690147;-354.363647;-3033.662842;59.739986;;;;;;
